txn_id,type,amount_usd,amount_mxn,rate_applied,rate_reference,timestamp,status,counterparty,client_tier,client_id,break_flag,notes
TXN-9900,FX_TRANSFER,3410.63,58628.73,17.19,17.19,2026-04-12T17:11:00,COMPLETED,BBVA Mexico,RETAIL,CLI-3183,,
TXN-4974,SAVINGS_ACCOUNT,1.0,17.17,0.085,0.085,2026-04-12T01:09:26,COMPLETED,Internal — Yield Engine,RETAIL,CLI-3529,,
TXN-4991,SAVINGS_ACCOUNT,0.4,6.8,0.085,0.085,2026-04-12T13:43:49,COMPLETED,Internal — Yield Engine,RETAIL,CLI-1803,,
TXN-5009,SAVINGS_ACCOUNT,0.26,4.54,0.085,0.085,2026-04-12T11:42:47,COMPLETED,Internal — Yield Engine,RETAIL,CLI-9850,,
TXN-4846,FX_TRANSFER,11944.22,205339.06,17.1915,17.19,2026-04-12T11:33:28,COMPLETED,Banco Santander MX,RETAIL,CLI-4681,,
TXN-4976,SAVINGS_ACCOUNT,0.75,12.92,0.085,0.085,2026-04-12T17:54:43,COMPLETED,Internal — Yield Engine,RETAIL,CLI-9742,,
TXN-4866,FX_TRANSFER,11215.19,192744.26,17.186,17.19,2026-04-12T18:16:07,COMPLETED,Banco Santander MX,CORPORATE_T2,CLI-3546,,
TXN-4951,SAVINGS_ACCOUNT,0.77,13.25,0.085,0.085,2026-04-12T17:21:26,COMPLETED,Internal — Yield Engine,RETAIL,CLI-9117,,
TXN-4933,CORPORATE_CARD,4717.11,81087.12,17.19,17.19,2026-04-12T12:52:04,COMPLETED,Distribuidora Norte,CORPORATE_T2,CLI-2213,,
TXN-4990,SAVINGS_ACCOUNT,0.68,11.7,0.085,0.085,2026-04-12T23:18:01,COMPLETED,Internal — Yield Engine,RETAIL,CLI-7484,,
TXN-4920,CORPORATE_CARD,4163.53,71571.08,17.19,17.19,2026-04-12T14:20:54,COMPLETED,Holding Omega,CORPORATE_T1,CLI-5569,,
TXN-4833,FX_TRANSFER,1261.17,21684.68,17.1941,17.19,2026-04-12T13:45:20,COMPLETED,BBVA Mexico,CORPORATE_T2,CLI-9179,,
TXN-4841,FX_TRANSFER,7503.16,128953.06,17.1865,17.19,2026-04-12T16:34:49,COMPLETED,HSBC Mexico,RETAIL,CLI-6310,,
TXN-4934,CORPORATE_CARD,2969.7,51049.14,17.19,17.19,2026-04-12T15:09:09,COMPLETED,Inmobiliaria Sur,CORPORATE_T1,CLI-5066,,
TXN-4879,SWIFT_INTERNATIONAL,13188.15,226704.3,17.19,17.19,2026-04-10T22:00:00,DISPATCHED,Banco Santander MX,RETAIL,CLI-5279,,
TXN-4875,SWIFT_INTERNATIONAL,16242.47,279208.06,17.19,17.19,2026-04-11T08:00:00,DISPATCHED,BBVA Mexico,CORPORATE_T2,CLI-2771,,
TXN-4836,FX_TRANSFER,6175.43,106171.7,17.1926,17.19,2026-04-12T17:09:40,COMPLETED,BBVA Mexico,CORPORATE_T2,CLI-7916,,
TXN-4955,SAVINGS_ACCOUNT,0.57,9.86,0.085,0.085,2026-04-12T06:33:23,COMPLETED,Internal — Yield Engine,RETAIL,CLI-9167,,
